location	n_ocurrences	percent accumulate_percent
london	57130	1.55694853349	1.55694853349
GEOCOORDENATES	38596	1.05184641342	2.60879494691
new york	21820	0.594654594797	3.2034495417
uk	18277	0.498098168153	3.70154770986
canada	16469	0.448825230143	4.15037294
usa	16432	0.447816879088	4.59818981909
washington dc	16162	0.440458641664	5.03864846075
toronto	14870	0.405248112953	5.4438965737
chicago	14254	0.388460430533	5.83235700424
south africa	13925	0.379494281968	6.21185128621
texas	13783	0.375624394138	6.58747568034
los angeles	13755	0.374861317664	6.96233699801
california	13504	0.368020882133	7.33035788014
indonesia	12435	0.338887712479	7.66924559262
new york ny	11925	0.324988819567	7.99423441219
philippines	10834	0.295256089827	8.28949050201
england	10772	0.293566420493	8.58305692251
nyc	10750	0.292966860406	8.87602378291
manchester	10700	0.291604223846	9.16762800676
los angeles ca	10631	0.289723785393	9.45735179215
india	10541	0.287271039585	9.74462283174
new york city	10355	0.282202031582	10.0268248633
australia	9914	0.270183577123	10.2970084404
chicago il	9888	0.269475006111	10.5664834466
london uk	9806	0.267240282153	10.8337237287
florida	8907	0.242740076804	11.0764638055
new jersey	8705	0.237235025101	11.3136988306
singapore	8305	0.226333932621	11.5400327632
atlanta ga	8117	0.221210419155	11.7612431824
boston ma	7795	0.212435039709	11.9736782221
nigeria	7753	0.211290424998	12.1849686471
earth	7671	0.20905570104	12.3940243481
mumbai	7200	0.196219664644	12.5902440128
sydney australia	6957	0.189597250962	12.7798412637
ohio	6598	0.179813520461	12.9596547842
worldwide	6575	0.179186707644	13.1388414918
united states	6553	0.178587147557	13.3174286394
united kingdom	6520	0.177687807428	13.4951164468
nairobi kenya	6502	0.177197258266	13.6723137051
mexico	6335	0.172646052156	13.8449597573
cape town	6326	0.172400777575	14.0173605348
everywhere	6306	0.171855722951	14.1892162578
johannesburg	6303	0.171773964757	14.3609902225
michigan	6294	0.171528690177	14.5325189127
houston tx	6279	0.171119899208	14.7036388119
lagos nigeria	6244	0.170166053616	14.8738048655
melbourne australia	6219	0.169484735336	15.0432896009
boston	6127	0.166977484066	15.2102670849
liverpool	5923	0.161417926901	15.3716850118
paris	5911	0.161090894127	15.532775906
ireland	5906	0.160954630471	15.6937305364
san francisco	5807	0.158256610082	15.8519871465
washington d c	5760	0.156975731715	16.0089628782
scotland	5714	0.15572210608	16.1646849843
malaysia	5639	0.15367815124	16.3183631356
sydney	5541	0.151007383582	16.4693705191
nairobi	5349	0.145774859192	16.6151453783
dallas tx	5168	0.140842114845	16.7559874932
toronto canada	5130	0.139806511059	16.8957940042
san francisco ca	5002	0.136318161465	17.0321121657
lagos	4978	0.135664095917	17.1677762616
johannesburg south africa	4972	0.135500579529	17.3032768411
melbourne	4964	0.13528255768	17.4385593988
brooklyn ny	4927	0.134274206625	17.5728336055
austin tx	4879	0.132966075528	17.705799681
new delhi	4717	0.128551133073	17.8343508141
essex	4675	0.127406518363	17.9617573324
cape town south africa	4672	0.127324760169	18.0890820926
atlanta	4541	0.123754652382	18.212836745
miami fl	4531	0.12348212507	18.33631887
birmingham	4523	0.12326410322	18.4595829733
glasgow	4513	0.122991575908	18.5825745492
north carolina	4481	0.12211948851	18.7046940377
seattle wa	4463	0.121628939348	18.826322977
france	4352	0.118603886185	18.9449268632
philadelphia pa	4339	0.118249600679	19.0631764639
jakarta indonesia	4287	0.116832458657	19.1800089225
miami	4101	0.111763450654	19.2917723732
maryland	4055	0.110509825018	19.4022821982
jakarta	3993	0.108820155684	19.5111023539
nashville tn	3932	0.107157739081	19.618260093
istanbul	3918	0.106776200844	19.7250362938
indiana	3913	0.106639937188	19.831676231
philadelphia	3888	0.105958618908	19.9376348499
minnesota	3863	0.105277300628	20.0429121505
colorado	3856	0.105086531509	20.1479986821
venezuela	3832	0.104432465961	20.252431148
neverland	3786	0.103178840325	20.3556099883
bangalore	3733	0.101734445572	20.4573444339
pittsburgh pa	3642	0.0992544470325	20.5565988809
ny	3618	0.0986003814837	20.6551992624
seattle	3604	0.0982188432469	20.7534181057
dublin	3561	0.0970469758053	20.8504650815
charlotte nc	3521	0.0959568665573	20.946421948
san diego ca	3517	0.0958478556325	21.0422698037
virginia	3506	0.0955480755893	21.1378178793
houston texas	3473	0.0946487354596	21.2324666147
leeds	3446	0.0939129117172	21.3263795264
georgia	3375	0.091977967802	21.4183574942
dublin ireland	3373	0.0919234623396	21.5102809566
germany	3346	0.0911876385972	21.6014685952
madrid	3235	0.0881625854339	21.6896311806
edinburgh	3211	0.0875085198851	21.7771397005
nj	3207	0.0873995089603	21.8645392095
montreal	3186	0.0868272016051	21.9513664111
kenya	3139	0.0855463232386	22.0369127343
manila philippines	3133	0.0853828068514	22.1222955412
argentina	3095	0.0843472030658	22.2066427442
san diego	3083	0.0840201702914	22.2906629145
dubai	3077	0.0838566539042	22.3745195684
austin texas	3071	0.083693137517	22.4582127059
denver co	3064	0.0835023683986	22.5417150743
all around the world	3038	0.0827937973874	22.6245088717
arizona	3032	0.0826302810002	22.7071391527
las vegas	3023	0.0823850064194	22.7895241591
london england	2985	0.0813494026338	22.8708735618
global	2980	0.0812131389778	22.9520867007
dallas texas	2971	0.080967864397	23.0330545651
bristol	2970	0.0809406116657	23.1139951768
orlando fl	2962	0.0807225898161	23.1947177666
pennsylvania	2951	0.0804228097729	23.2751405764
wisconsin	2885	0.0786241295137	23.3537647059
houston	2875	0.0783516022017	23.4321163081
massachusetts	2863	0.0780245694273	23.5101408775
wonderland	2812	0.0766346801361	23.5867755577
mumbai india	2795	0.0761713837056	23.6629469414
ontario canada	2792	0.076089625512	23.7390365669
brasil	2786	0.0759261091248	23.814962676
illinois	2778	0.0757080872752	23.8906707633
alabama	2773	0.0755718236192	23.9662425869
pittsburgh	2755	0.0750812744576	24.0413238614
brooklyn	2743	0.0747542416832	24.1160781031
tennessee	2742	0.074726988952	24.190805092
sheffield	2741	0.0746997362208	24.2655048282
planet earth	2715	0.0739911652096	24.3394959934
japan	2699	0.0735551215104	24.413051115
