Numero de usuarios	Cantidad de Tweets
1	7431
1	4858
1	4335
1	4287
1	4136
1	3866
1	3803
1	3779
1	3624
1	3562
1	3556
1	3509
1	3268
1	3128
1	3005
1	2992
1	2977
1	2949
1	2942
1	2801
1	2755
1	2754
1	2749
1	2725
1	2709
1	2654
1	2645
1	2613
1	2607
1	2600
1	2564
1	2548
1	2453
2	2429
1	2408
1	2402
1	2354
1	2347
1	2327
1	2326
1	2324
2	2285
1	2279
1	2250
1	2222
1	2220
1	2212
1	2205
1	2194
1	2193
1	2169
1	2162
1	2147
1	2137
1	2117
1	2067
1	2052
1	2021
1	2015
1	1958
1	1937
1	1926
1	1915
1	1907
1	1891
1	1888
1	1861
1	1851
1	1845
1	1828
1	1819
2	1810
1	1809
1	1807
1	1795
1	1771
1	1766
1	1758
1	1755
1	1749
1	1738
1	1734
1	1729
1	1713
1	1708
1	1698
1	1694
1	1693
2	1661
1	1658
1	1657
1	1652
1	1648
1	1646
1	1642
1	1617
1	1592
1	1590
1	1581
1	1580
1	1571
1	1567
1	1564
1	1556
1	1555
1	1547
1	1543
1	1541
1	1539
1	1530
1	1523
1	1520
3	1507
1	1493
1	1486
1	1483
1	1460
1	1456
1	1451
1	1446
1	1432
1	1420
1	1403
1	1400
1	1398
2	1397
1	1395
1	1379
1	1374
1	1370
1	1369
1	1367
1	1366
1	1363
1	1357
1	1354
1	1348
1	1344
1	1335
1	1333
1	1328
1	1323
1	1322
1	1316
1	1313
1	1311
1	1305
1	1304
1	1299
1	1298
2	1295
1	1294
1	1290
1	1287
1	1281
1	1279
1	1277
1	1276
1	1273
1	1268
1	1263
1	1262
1	1261
1	1256
2	1255
1	1254
1	1253
1	1250
1	1244
2	1240
1	1239
2	1238
1	1237
1	1235
2	1234
1	1233
2	1229
2	1226
1	1225
2	1216
1	1214
1	1212
1	1211
1	1210
2	1209
1	1208
1	1207
1	1204
1	1197
1	1194
1	1190
4	1187
1	1186
1	1184
1	1183
1	1170
1	1168
1	1166
1	1164
1	1162
1	1159
1	1158
2	1157
1	1156
2	1154
1	1153
1	1152
1	1151
2	1149
1	1148
1	1143
1	1141
1	1140
1	1139
1	1138
1	1137
1	1136
1	1134
2	1132
1	1131
1	1130
1	1123
1	1122
1	1121
1	1118
2	1117
2	1115
1	1113
1	1111
1	1108
1	1107
2	1106
1	1104
1	1102
1	1101
1	1100
1	1094
1	1090
2	1089
1	1086
1	1085
1	1084
1	1082
1	1081
1	1079
1	1078
1	1074
1	1072
1	1070
1	1067
1	1066
1	1065
1	1064
2	1060
1	1058
1	1056
1	1055
1	1053
2	1052
2	1050
1	1049
1	1047
2	1046
1	1045
1	1041
2	1038
2	1036
1	1034
2	1033
2	1031
2	1030
1	1029
1	1028
1	1024
1	1023
4	1022
3	1018
1	1017
2	1015
1	1014
1	1013
1	1012
2	1010
1	1008
2	1007
2	1005
1	1003
1	999
2	997
1	995
1	994
3	993
1	991
1	985
1	984
1	983
1	978
1	976
2	973
1	970
1	969
1	961
2	956
1	955
1	954
1	953
5	952
1	951
5	950
1	949
1	948
2	947
2	946
1	945
1	944
1	943
1	942
1	940
1	938
2	936
1	934
1	933
1	931
2	930
1	927
1	925
1	924
1	923
1	922
3	921
1	918
1	913
3	912
3	910
1	907
1	903
2	902
1	900
1	898
1	897
1	896
1	895
1	894
1	890
3	888
1	887
2	886
2	885
3	883
1	881
1	877
1	876
1	875
2	874
1	873
2	871
1	868
1	866
3	865
1	864
1	863
1	861
1	859
1	858
1	857
3	856
1	853
2	852
2	851
1	850
3	849
1	848
2	847
2	846
3	845
1	844
1	840
1	839
2	838
2	833
2	832
2	830
2	829
1	828
1	827
1	826
1	825
2	823
3	822
1	821
1	820
3	819
1	818
4	817
3	816
2	815
3	814
1	813
4	812
1	811
1	810
2	809
1	807
2	806
1	805
3	804
2	803
1	802
2	800
3	799
1	798
1	797
1	792
3	791
2	789
1	788
1	787
1	786
3	785
2	784
2	783
1	782
5	781
1	780
2	779
2	778
3	777
2	776
2	773
1	772
1	769
2	767
2	766
1	765
2	764
1	763
1	762
1	761
2	760
1	759
2	758
1	757
2	756
2	755
3	754
2	751
3	750
1	748
3	747
4	745
2	744
1	742
1	741
1	739
3	738
2	736
1	735
1	734
2	731
1	730
1	728
2	727
2	724
3	723
1	722
2	721
3	720
1	719
1	718
1	716
2	714
3	713
1	712
1	711
3	710
1	709
2	707
3	706
4	705
5	704
2	703
7	702
7	701
8	700
7	699
9	698
3	697
5	696
3	695
3	694
3	693
2	692
1	691
3	690
2	689
1	688
2	687
2	685
4	684
5	683
1	682
3	681
3	680
2	679
2	678
1	677
1	675
1	674
1	673
2	672
1	671
2	670
1	668
2	667
1	666
2	665
4	664
1	663
1	662
1	661
4	659
1	658
2	657
6	656
2	655
4	654
3	653
2	652
1	651
3	650
1	649
5	648
1	647
3	645
4	644
3	643
3	642
2	640
4	639
4	638
2	637
4	636
2	635
1	634
3	633
4	632
4	631
6	630
2	629
1	628
1	627
4	626
1	625
1	624
5	623
2	622
4	620
5	619
2	618
3	617
5	616
5	615
1	614
3	613
1	612
2	611
3	610
1	609
1	608
3	607
4	606
1	605
1	604
1	603
3	602
2	601
4	600
1	598
2	597
3	596
3	595
5	594
3	593
2	592
1	591
1	590
4	589
1	588
2	587
3	586
2	585
1	584
4	583
1	582
3	580
3	579
4	578
1	576
3	575
5	573
1	572
4	571
3	569
5	568
3	567
2	566
3	565
1	564
6	562
4	561
2	560
3	558
2	557
2	556
2	555
1	554
4	553
3	552
3	550
5	549
3	548
5	547
4	546
8	545
3	544
5	543
4	542
4	541
2	540
4	539
1	538
5	537
4	536
4	535
4	534
2	533
4	532
6	531
7	530
4	529
7	528
4	527
4	526
2	525
4	524
1	523
4	522
5	521
3	520
2	519
3	517
5	516
6	515
6	514
4	513
1	512
2	511
3	510
3	509
4	508
5	507
7	506
6	505
1	504
3	503
8	502
6	501
7	500
5	499
2	498
2	497
4	496
4	495
2	494
1	493
5	492
7	491
3	490
4	489
4	488
5	487
3	486
4	485
3	484
3	483
2	482
1	481
3	480
10	479
3	478
1	477
2	476
3	475
7	474
3	473
4	472
4	471
2	470
1	469
3	468
1	467
7	466
4	464
3	463
2	462
3	461
6	460
5	459
5	458
7	457
10	456
4	455
3	454
5	453
4	452
7	451
5	450
4	449
9	448
5	447
5	446
6	445
7	444
3	443
8	442
8	441
4	440
7	439
6	438
4	437
1	436
3	435
1	434
7	433
2	432
9	431
4	430
4	429
5	428
5	427
2	426
7	425
6	424
6	423
9	422
7	421
1	420
6	419
7	418
9	417
5	416
4	415
9	414
8	413
10	412
12	411
9	410
7	409
6	408
6	407
7	406
6	405
6	404
8	403
3	402
4	401
3	400
7	399
5	398
7	397
12	396
6	395
6	394
6	393
12	392
12	391
7	390
8	389
9	388
9	387
10	386
10	385
8	384
8	383
9	382
6	381
3	380
6	379
9	378
10	377
6	376
3	375
7	374
10	373
6	372
10	371
2	370
13	369
10	368
6	367
8	366
7	365
9	364
8	363
10	362
9	361
9	360
8	359
9	358
19	357
13	356
11	355
12	354
19	353
15	352
16	351
21	350
12	349
14	348
11	347
8	346
18	345
9	344
17	343
15	342
16	341
9	340
11	339
11	338
14	337
9	336
6	335
9	334
10	333
17	332
3	331
7	330
12	329
10	328
14	327
7	326
12	325
15	324
12	323
12	322
6	321
28	320
15	319
8	318
8	317
17	316
14	315
9	314
9	313
15	312
14	311
14	310
19	309
9	308
15	307
25	306
10	305
10	304
14	303
18	302
16	301
11	300
16	299
16	298
17	297
10	296
8	295
12	294
19	293
10	292
13	291
15	290
23	289
12	288
23	287
12	286
18	285
12	284
22	283
11	282
12	281
7	280
18	279
16	278
23	277
17	276
18	275
16	274
12	273
18	272
22	271
18	270
19	269
17	268
15	267
18	266
12	265
20	264
26	263
16	262
21	261
27	260
22	259
28	258
21	257
27	256
24	255
12	254
24	253
13	252
38	251
27	250
21	249
22	248
28	247
17	246
22	245
26	244
26	243
21	242
12	241
17	240
20	239
26	238
25	237
13	236
23	235
35	234
26	233
16	232
17	231
15	230
21	229
21	228
29	227
18	226
24	225
19	224
28	223
31	222
33	221
22	220
37	219
26	218
34	217
39	216
36	215
32	214
26	213
34	212
29	211
25	210
28	209
18	208
27	207
16	206
29	205
40	204
30	203
29	202
38	201
36	200
29	199
25	198
39	197
32	196
25	195
24	194
33	193
32	192
39	191
50	190
47	189
27	188
38	187
43	186
37	185
36	184
38	183
42	182
28	181
45	180
36	179
33	178
47	177
42	176
33	175
41	174
55	173
71	172
92	171
104	170
58	169
74	168
56	167
161	166
86	165
73	164
97	163
67	162
74	161
52	160
54	159
70	158
67	157
116	156
59	155
75	154
53	153
108	152
59	151
74	150
60	149
64	148
69	147
66	146
61	145
58	144
61	143
70	142
56	141
71	140
59	139
62	138
74	137
84	136
76	135
73	134
79	133
72	132
85	131
74	130
79	129
78	128
83	127
108	126
91	125
103	124
92	123
74	122
94	121
86	120
106	119
101	118
113	117
119	116
104	115
109	114
120	113
118	112
118	111
127	110
122	109
133	108
120	107
126	106
132	105
116	104
111	103
122	102
125	101
138	100
127	99
166	98
155	97
158	96
140	95
169	94
156	93
188	92
181	91
156	90
167	89
203	88
246	87
193	86
194	85
184	84
201	83
192	82
234	81
262	80
341	79
352	78
426	77
414	76
462	75
470	74
494	73
580	72
578	71
594	70
549	69
514	68
493	67
439	66
431	65
423	64
355	63
361	62
399	61
392	60
459	59
396	58
466	57
449	56
507	55
505	54
506	53
531	52
546	51
571	50
634	49
862	48
997	47
1107	46
1262	45
976	44
952	43
1102	42
1072	41
1034	40
1127	39
1058	38
1177	37
1250	36
1243	35
1456	34
1467	33
1554	32
1700	31
1774	30
1963	29
2138	28
2433	27
2558	26
2756	25
3179	24
3424	23
3713	22
4016	21
4483	20
4992	19
5644	18
6270	17
7068	16
8135	15
9592	14
11436	13
13644	12
16687	11
21078	10
26377	9
34749	8
47511	7
69678	6
107480	5
182104	4
363218	3
933685	2
3829664	1
